Ride_ID,Customer_ID,Driver_ID,City,Cab_Type,Booking_Time,Trip_Status,Cancellation_Reason,Driver_Rating,Customer_Rating,Distance_km,Fare_Amount,,,
RIDE1000,CUST485,DR42,Chennai,SUV,2023-02-05 20:00:00,Completed,Driver Late,4.6,4,12.79,754.94,,,
RIDE1001,CUST249,DR84,Hyderabad,Mini,2023-02-23 22:00:00,Completed,None,4.2,2.6,24.11,553.84,,,
RIDE1002,CUST173,DR50,Chennai,Sedan,2023-02-17 02:00:00,Completed,No Show,3.3,3.6,18.39,710.64,,,
RIDE1003,CUST573,DR40,Delhi,SUV,2023-02-15 15:00:00,Cancelled by Driver,Driver Late,4.2,4.3,12,740.33,,,
RIDE1004,CUST272,DR60,Delhi,SUV,2023-03-10 06:00:00,Completed,None,4.2,2,14.06,245.66,,,
RIDE1005,CUST600,DR99,Hyderabad,SUV,2023-01-20 10:00:00,Completed,App Issue,3,3.2,21.81,458.89,,,
RIDE1006,CUST358,DR42,Bangalore,SUV,2023-02-21 14:00:00,Completed,Traffic Delay,3,3.9,14.06,687.08,,,
RIDE1007,CUST629,DR23,Bangalore,Mini,2023-01-14 18:00:00,Completed,Change of Plans,3.8,3.5,19.97,174.6,,,
RIDE1008,CUST892,DR51,Hyderabad,Mini,2023-03-03 18:00:00,Completed,Driver Late,2.7,3.8,9.4,127.92,,,
RIDE1009,CUST860,DR64,Bangalore,Sedan,2023-03-30 23:00:00,Cancelled by Driver,None,3.8,2.2,8.47,104.69,,,
RIDE1010,CUST380,DR42,Delhi,Sedan,2023-01-06 10:00:00,Completed,None,4.6,4.3,5.87,371.85,,,
RIDE1011,CUST215,DR27,Hyderabad,Mini,2023-03-12 05:00:00,Cancelled by Driver,None,3.1,4.5,10.2,387.12,,,
RIDE1012,CUST231,DR81,Delhi,SUV,2023-02-02 01:00:00,Completed,Traffic Delay,4.5,2.8,23.38,342.75,,,
RIDE1013,CUST305,DR46,Mumbai,Sedan,2023-03-05 03:00:00,Cancelled by Customer,App Issue,3.8,3.1,19.34,704.07,,,
RIDE1014,CUST123,DR87,Bangalore,Sedan,2023-02-20 15:00:00,Completed,No Show,3.3,3.7,11.43,129.73,,,
RIDE1015,CUST410,DR29,Bangalore,Mini,2023-02-09 19:00:00,Completed,Traffic Delay,4.7,4,7.96,726.57,,,
RIDE1016,CUST429,DR26,Bangalore,Sedan,2023-02-19 08:00:00,Completed,None,3.3,2.6,3.24,292.64,,,
RIDE1017,CUST395,DR28,Delhi,Mini,2023-01-20 03:00:00,Cancelled by Customer,No Show,3.9,2.4,21.29,755.8,,,
RIDE1018,CUST840,DR47,Mumbai,Sedan,2023-01-01 21:00:00,Completed,App Issue,4.7,4.9,16.94,318.55,,,
RIDE1019,CUST633,DR18,Bangalore,Sedan,2023-02-01 03:00:00,Cancelled by Driver,None,4.9,3.4,13.07,763.23,,,
RIDE1020,CUST211,DR74,Mumbai,Sedan,2023-01-20 18:00:00,Completed,No Show,2.5,4.6,12.6,608.7,,,
RIDE1021,CUST815,DR15,Chennai,SUV,2023-02-15 02:00:00,Cancelled by Driver,None,4.5,3.3,10.43,687.65,,,
RIDE1022,CUST521,DR53,Delhi,Mini,2023-03-27 07:00:00,Completed,None,2.7,2.7,17.86,228,,,
RIDE1023,CUST653,DR14,Mumbai,Sedan,2023-02-10 15:00:00,Cancelled by Customer,Traffic Delay,3,2.1,8.01,186.53,,,
RIDE1024,CUST772,DR54,Delhi,Mini,2023-03-17 06:00:00,Cancelled by Driver,Driver Late,4.5,4.3,12,141.34,,,
RIDE1025,CUST906,DR73,Delhi,Mini,2023-01-08 21:00:00,Cancelled by Customer,None,3.8,4,10.2,132.85,,,
RIDE1026,CUST784,DR11,Delhi,Sedan,2023-01-24 10:00:00,Completed,None,4.6,3.5,9.26,335.15,,,
RIDE1027,CUST724,DR61,Delhi,Mini,2023-03-21 03:00:00,Completed,None,3.6,2.5,15.52,136.3,,,
RIDE1028,CUST602,DR20,Hyderabad,Mini,2023-02-22 19:00:00,Cancelled by Customer,None,2.6,3.3,3.84,384.87,,,
RIDE1029,CUST841,DR20,Chennai,SUV,2023-03-05 16:00:00,Completed,None,2.8,3.6,7.11,143.28,,,
RIDE1030,CUST995,DR90,Bangalore,Mini,2023-01-27 22:00:00,Cancelled by Customer,None,3.4,4.1,23.61,437.21,,,
RIDE1031,CUST585,DR47,Hyderabad,Mini,2023-03-28 04:00:00,Cancelled by Driver,None,3.9,3.9,7.49,565.3,,,
RIDE1032,CUST309,DR91,Delhi,Mini,2023-02-24 01:00:00,Cancelled by Driver,Traffic Delay,3.1,4.8,1.88,323.84,,,
RIDE1033,CUST695,DR26,Delhi,Sedan,2023-01-26 00:00:00,Cancelled by Customer,Driver Late,3.4,3.6,12.62,287.22,,,
